,Unnamed: 0,id_league,country,league,season,team_1,team_2,score_ft_1,score_ft_2,winner_ft,1_closing_value,2_closing_value,3_closing_value,hash,date,time,home_odds_1,home_odds_X,home_odds_2
0,207234,POL D1,Poland,Ekstraklasa,2016/2017,Pogon Szczecin,Slask Wroclaw,0.0,2.0,A,2.4,3.3,3.5,PS01081616:00,1/8/16,16:00,50.9,28.3,20.8
1,207046,BEL D1,Belgium,Jupiler League,2016/2017,Oostende,Club Brugge KV,1.0,0.0,H,4.3,3.95,1.92,OC05081618:30,5/8/16,18:30,30.4,30.6,38.9
2,206808,AUT D1,Austria,Tipico Bundesliga,2016/2017,Mattersburg,Sturm Graz,0.0,2.0,A,3.6,3.55,2.24,MS06081614:00,6/8/16,14:00,50.2,28.5,21.3
4,206953,NED D1,Netherlands,Eredivisie,2016/2017,Willem II,Vitesse,1.0,4.0,A,3.2,3.6,2.36,WV06081618:45,6/8/16,18:45,48.2,29.0,22.8
5,206982,PRT D2,Portugal,LigaPro,2016/2017,Sporting B,Portimonense,1.0,2.0,A,3.7,3.4,2.2,SP06081615:00,6/8/16,15:00,63.3,23.7,13.1
6,206693,DNK D1,Denmark,Superliga,2016/2017,Sonderjyske,FC Copenhagen,1.0,1.0,D,6.8,4.1,1.61,SF07081614:00,7/8/16,14:00,29.7,30.6,39.7
8,206692,DNK D1,Denmark,Superliga,2016/2017,Midtjylland,Brondby,3.0,3.0,D,2.28,3.5,3.5,MB07081616:00,7/8/16,16:00,48.2,29.0,22.8
9,206752,MEX D1,Mexico,Liga MX,2016/2017,Puebla,Santos Laguna,0.0,0.0,D,2.3,3.5,3.4,PS07081623:00,7/8/16,23:00,43.2,30.1,26.7
10,206673,CZE D1,Czech Republic,1. Liga,2016/2017,Teplice,Sparta Prague,0.0,0.0,D,3.85,3.75,2.06,TS07081617:00,7/8/16,17:00,39.8,30.6,29.7
11,206700,ENG CH,England,Championship,2016/2017,Sheffield Wed,Aston Villa,1.0,0.0,H,2.3,3.35,3.6,SA07081615:30,7/8/16,15:30,50.5,28.4,21.1
12,206757,MEX D1,Mexico,Liga MX,2016/2017,Club Leon,Monterrey,0.0,3.0,A,2.16,3.9,3.4,CM07081600:06,7/8/16,00:06,48.4,29.0,22.6
13,206648,ROU D1,Romania,Liga 1,2016/2017,CFR Cluj,Din. Bucuresti,0.0,0.0,D,2.94,3.15,2.82,CD08081618:00,8/8/16,18:00,47.9,29.1,23.0
14,206645,NED D2,Netherlands,Eerste Divisie,2016/2017,Waalwijk,Telstar,1.0,0.0,H,2.38,3.8,3.1,WT08081618:00,8/8/16,18:00,57.5,26.1,16.4
15,206653,CHE D1,Switzerland,Challenge League,2016/2017,Aarau,Servette,2.0,0.0,H,1.87,3.95,4.5,AS08081617:45,8/8/16,17:45,48.6,28.9,22.5
16,206599,GER D3,Germany,3. Liga,2016/2017,Magdeburg,Paderborn,3.0,0.0,H,2.7,3.3,2.84,MP09081617:00,9/8/16,17:00,63.3,23.6,13.0
17,206438,GER D3,Germany,3. Liga,2016/2017,Werder Bremen II,Zwickau,1.0,3.0,A,2.78,3.35,2.72,WZ10081616:30,10/8/16,16:30,46.0,29.5,24.4
20,206479,,Scotland,League Cup,2016/2017,Celtic,Motherwell,5.0,0.0,H,1.22,8.0,15.5,CM10081618:45,10/8/16,18:45,73.1,18.7,8.2
24,206322,NED D2,Netherlands,Eerste Divisie,2016/2017,FC Emmen,Waalwijk,1.0,0.0,H,1.99,3.85,4.0,FW12081618:00,12/8/16,18:00,62.3,24.1,13.6
26,206326,NED D1,Netherlands,Eredivisie,2016/2017,Heerenveen,Utrecht,2.0,2.0,D,2.84,3.65,2.62,HU12081618:00,12/8/16,18:00,46.1,29.5,24.4
28,206321,NED D2,Netherlands,Eerste Divisie,2016/2017,Eindhoven FC,FC Volendam,0.0,1.0,A,2.08,3.7,3.85,EF12081618:00,12/8/16,18:00,54.0,27.3,18.7
29,206333,POL D1,Poland,Ekstraklasa,2016/2017,Lechia Gdansk,Korona Kielce,3.0,2.0,H,1.54,4.4,7.8,LK12081616:00,12/8/16,16:00,62.1,24.2,13.7
32,206117,,Germany,Regionalliga North,2016/2017,Hannover II,Hamburger SV II,1.0,1.0,D,1.89,4.0,4.1,HH13081611:00,13/8/16,11:00,57.1,26.2,16.7
34,206103,GER D3,Germany,3. Liga,2016/2017,VfL Osnabruck,Magdeburg,3.0,2.0,H,2.48,3.25,3.25,VM13081612:00,13/8/16,12:00,33.7,30.8,35.4
35,206201,RUS D1,Russia,Premier League,2016/2017,Rubin Kazan,Spartak Moscow,1.0,1.0,D,3.0,3.4,2.62,RS13081617:30,13/8/16,17:30,49.8,28.6,21.6
36,206233,SVN D1,Slovenia,Prva liga,2016/2017,ND Gorica,Maribor,2.0,1.0,H,4.2,3.75,1.92,NM13081615:55,13/8/16,15:55,46.0,29.5,24.5
38,206175,POL D1,Poland,Ekstraklasa,2016/2017,Arka Gdynia,Slask Wroclaw,2.0,0.0,H,2.14,3.4,3.9,AS13081613:30,13/8/16,13:30,57.2,26.2,16.6
39,206228,SVK D1,Slovakia,Fortuna liga,2016/2017,Ruzomberok,Slovan Bratislava,3.0,2.0,H,2.18,3.35,3.55,RS13081617:00,13/8/16,17:00,47.4,29.2,23.4
40,205984,CZE D1,Czech Republic,1. Liga,2016/2017,Bohemians 1905,Sparta Prague,0.0,2.0,A,5.9,4.3,1.65,BS13081618:00,13/8/16,18:00,41.5,30.4,28.2
41,206010,DNK D1,Denmark,Superliga,2016/2017,FC Copenhagen,Midtjylland,3.0,1.0,H,1.67,4.1,6.0,FM13081616:30,13/8/16,16:30,56.4,26.5,17.1
42,206101,GER D3,Germany,3. Liga,2016/2017,Paderborn,Werder Bremen II,1.0,2.0,A,1.68,4.1,5.7,PW13081612:00,13/8/16,12:00,42.4,30.2,27.4
46,205927,RUS D1,Russia,Premier League,2016/2017,Akhmat Grozny,Lokomotiv Moscow,1.0,1.0,D,2.58,3.05,3.4,AL14081617:30,14/8/16,17:30,40.0,30.5,29.4
47,205837,DNK D1,Denmark,Superliga,2016/2017,Odense,Nordsjaelland,3.0,1.0,H,1.6,4.4,6.2,ON14081614:00,14/8/16,14:00,57.9,25.9,16.2
48,205928,RUS D1,Russia,Premier League,2016/2017,FK Anzi Makhackala,Arsenal Tula,1.0,0.0,H,2.38,3.15,3.7,FA14081617:00,14/8/16,17:00,29.8,30.6,39.7
49,205801,AUT D1,Austria,Tipico Bundesliga,2016/2017,Sturm Graz,Austria Vienna,3.0,1.0,H,2.32,3.5,3.4,SA14081614:30,14/8/16,14:30,45.3,29.7,25.0
50,205844,ENG PL,England,Premier League,2016/2017,Bournemouth,Manchester Utd,1.0,3.0,A,5.8,3.65,1.79,BM14081612:30,14/8/16,12:30,21.8,28.7,49.6
51,205782,,England,Premier League 2,2016/2017,Manchester Utd U23,Leicester U23,1.0,0.0,H,1.78,3.15,4.6,ML15081618:00,15/8/16,18:00,66.2,22.3,11.5
53,205772,BGR D1,Bulgaria,Parva liga,2016/2017,Botev Plovdiv,Slavia Sofia,3.0,2.0,H,2.32,3.4,3.4,BS15081617:00,15/8/16,17:00,60.4,24.9,14.7
54,205777,DNK D1,Denmark,Superliga,2016/2017,Aalborg,Esbjerg,2.0,1.0,H,1.57,4.6,6.6,AE15081617:00,15/8/16,17:00,48.3,29.0,22.7
55,205675,AUT D2,Austria,2. Liga,2016/2017,Wacker Innsbruck,Liefering,1.0,1.0,D,3.2,3.8,2.3,WL16081616:30,16/8/16,16:30,69.7,20.5,9.7
56,205705,ENG D2,England,League Two,2016/2017,Leyton Orient,Stevenage,3.0,0.0,H,2.06,3.45,4.3,LS16081618:45,16/8/16,18:45,57.9,25.9,16.2
57,205477,AUT D2,Austria,2. Liga,2016/2017,Wacker Innsbruck,A. Lustenau,0.0,1.0,A,3.35,3.6,2.32,WA19081616:30,19/8/16,16:30,55.1,26.9,17.9
59,205500,,England,Premier League 2,2016/2017,Manchester City U23,Arsenal U23,1.0,0.0,H,1.71,1.03,3.35,MA19081618:00,19/8/16,18:00,72.5,19.0,8.4
62,205535,NED D2,Netherlands,Eerste Divisie,2016/2017,Graafschap,Jong Utrecht,3.0,1.0,H,1.31,6.4,11.5,GJ19081618:00,19/8/16,18:00,43.3,30.1,26.6
63,205552,POL D1,Poland,Ekstraklasa,2016/2017,Slask Wroclaw,Wisla Plock,0.0,0.0,D,2.36,3.35,3.5,SW19081616:00,19/8/16,16:00,48.9,28.9,22.3
64,205487,CZE D1,Czech Republic,1. Liga,2016/2017,Teplice,Mlada Boleslav,1.0,2.0,A,3.35,3.25,2.46,TM19081616:35,19/8/16,16:35,49.8,28.6,21.6
65,205567,ESP D2,Spain,LaLiga2,2016/2017,Almeria,Cadiz CF,1.0,1.0,D,2.12,3.4,4.1,AC19081620:00,19/8/16,20:00,45.9,29.6,24.5
66,205420,SVK D1,Slovakia,Fortuna liga,2016/2017,Slovan Bratislava,Zilina,1.0,0.0,H,2.76,3.5,2.7,SZ20081617:00,20/8/16,17:00,44.6,29.8,25.6
67,205458,TUR D1,Turkey,Super Lig,2016/2017,Besiktas,Alanyaspor,4.0,1.0,H,1.36,5.5,11.0,BA20081618:45,20/8/16,18:45,69.9,20.5,9.7
