,Unnamed: 0,id_league,country,league,season,team_1,team_2,score_ft_1,score_ft_2,winner_ft,1_closing_value,2_closing_value,3_closing_value,hash,date,time,home_odds_1,home_odds_X,home_odds_2,GI_home_odds_1,GI_home_odds_X,GI_home_odds_2,value_1,value_X,value_2,bet_value
2,2,AUT D1,Austria,Tipico Bundesliga,2016/2017,Mattersburg,Sturm Graz,0.0,2.0,A,3.6,3.55,2.24,MS06081614:00,6/8/16,14:00,50.2,28.5,21.3,1.99,3.51,4.69,22.47,0.32,-23.32,Lay_2
4,4,PRT D2,Portugal,LigaPro,2016/2017,Sporting B,Portimonense,1.0,2.0,A,3.7,3.4,2.2,SP06081615:00,6/8/16,15:00,63.3,23.7,13.1,1.58,4.22,7.63,36.26,-5.72,-32.35,Back_1
5,5,DNK D1,Denmark,Superliga,2016/2017,Sonderjyske,FC Copenhagen,1.0,1.0,D,6.8,4.1,1.61,SF07081614:00,7/8/16,14:00,29.7,30.6,39.7,3.37,3.27,2.52,14.97,6.19,-22.43,Lay_2
14,14,GER D3,Germany,3. Liga,2016/2017,Magdeburg,Paderborn,3.0,0.0,H,2.7,3.3,2.84,MP09081617:00,9/8/16,17:00,63.3,23.6,13.0,1.58,4.24,7.69,26.25,-1.97,-22.21,Back_1
24,24,SVN D1,Slovenia,Prva liga,2016/2017,ND Gorica,Maribor,2.0,1.0,H,4.2,3.75,1.92,NM13081615:55,13/8/16,15:55,46.0,29.5,24.5,2.17,3.39,4.08,22.27,3.91,-13.17,Back_1
27,27,CZE D1,Czech Republic,1. Liga,2016/2017,Bohemians 1905,Sparta Prague,0.0,2.0,A,5.9,4.3,1.65,BS13081618:00,13/8/16,18:00,41.5,30.4,28.2,2.41,3.29,3.55,24.54,7.14,-32.44,Lay_2
40,40,AUT D2,Austria,2. Liga,2016/2017,Wacker Innsbruck,A. Lustenau,0.0,1.0,A,3.35,3.6,2.32,WA19081616:30,19/8/16,16:30,55.1,26.9,17.9,1.81,3.72,5.59,25.4,1.21,-25.21,Back_1
41,42,NED D2,Netherlands,Eerste Divisie,2016/2017,Graafschap,Jong Utrecht,3.0,1.0,H,1.31,6.4,11.5,GJ19081618:00,19/8/16,18:00,43.3,30.1,26.6,2.31,3.32,3.76,-33.05,14.5,17.9,Lay_1
43,44,CZE D1,Czech Republic,1. Liga,2016/2017,Teplice,Mlada Boleslav,1.0,2.0,A,3.35,3.25,2.46,TM19081616:35,19/8/16,16:35,49.8,28.6,21.6,2.01,3.5,4.63,25.4,0.0,-19.05,Back_1
47,48,UKR D1,Ukraine,Premier League,2016/2017,Olimpik Donetsk,Oleksandriya,0.0,2.0,A,3.55,3.45,2.26,OO20081614:00,20/8/16,14:00,47.9,29.1,23.0,2.09,3.44,4.35,19.68,-3.08,-21.26,Lay_2
51,52,,Germany,DFB Pokal,2016/2017,Hallescher,Kaiserslautern,4.0,3.0,H,3.5,3.4,2.28,HK20081613:30,20/8/16,13:30,47.6,29.2,23.2,2.1,3.42,4.31,19.05,-5.72,-20.66,Lay_2
52,53,SCO D1,Scotland,Premiership,2016/2017,St Johnstone,Celtic,2.0,4.0,A,6.2,4.3,1.62,SC20081611:15,20/8/16,11:15,37.3,30.8,31.9,2.68,3.25,3.13,21.18,7.14,-29.78,Lay_2
55,56,ENG PL,England,Premier League,2016/2017,Burnley,Liverpool,2.0,0.0,H,7.6,4.5,1.53,BL20081614:00,20/8/16,14:00,27.8,30.3,41.9,3.6,3.3,2.39,14.62,8.08,-23.52,Lay_2
58,59,DNK D1,Denmark,Superliga,2016/2017,Silkeborg,Viborg,1.0,5.0,A,3.5,3.55,2.28,SV21081611:00,21/8/16,11:00,51.5,28.1,20.4,1.94,3.56,4.9,19.05,0.32,-20.66,Lay_2
61,62,TUR D1,Turkey,Super Lig,2016/2017,Antalyaspor,Osmanlispor,0.0,0.0,D,3.25,3.45,2.42,AO21081618:45,21/8/16,18:45,59.7,25.2,15.1,1.68,3.97,6.62,28.75,-3.08,-26.22,Back_1
64,65,MEX D1,Mexico,Liga MX,2016/2017,Puebla,Club America,2.0,2.0,D,3.7,3.7,2.12,PC21081623:00,21/8/16,23:00,49.0,28.8,22.2,2.04,3.47,4.5,36.26,0.3,-24.95,Back_1
67,68,BGR D1,Bulgaria,Parva liga,2016/2017,Slavia Sofia,Levski Sofia,0.0,4.0,A,5.2,3.4,1.9,SL21081618:15,21/8/16,18:15,39.4,30.6,30.0,2.54,3.27,3.33,20.14,-5.72,-22.6,Lay_2
71,72,ROU D1,Romania,Liga 1,2016/2017,Gaz Metan Medias,FC Botosani,0.0,0.0,D,3.1,3.25,2.64,GF22081615:30,22/8/16,15:30,55.6,26.8,17.6,1.8,3.73,5.68,23.3,0.0,-20.27,Back_1
72,73,DNK D1,Denmark,Superliga,2016/2017,Esbjerg,Odense,3.0,2.0,H,3.25,3.6,2.38,EO22081617:00,22/8/16,17:00,48.5,29.0,22.6,2.06,3.45,4.42,28.75,1.21,-19.39,Back_1
75,76,,France,Coupe de la Ligue,2016/2017,Auxerre,Strasbourg,2.0,0.0,H,3.15,3.2,2.62,AS23081616:30,23/8/16,16:30,51.8,28.0,20.2,1.93,3.57,4.95,20.07,-4.08,-13.78,Back_1
76,77,ENG EFLC,England,EFL Cup,2016/2017,Fulham,Middlesbrough,2.0,1.0,H,4.1,3.75,2.02,FM24081618:45,24/8/16,18:45,51.0,28.3,20.7,1.96,3.53,4.83,26.63,3.91,-28.8,Lay_2
77,78,,Poland,Polish Cup,2016/2017,Piast Gliwice,Lechia Gdansk,0.0,1.0,A,3.35,3.5,2.26,PL24081616:00,24/8/16,16:00,47.7,29.1,23.1,2.1,3.44,4.33,25.4,0.41,-21.26,Back_1
79,80,SCO D1,Scotland,Premiership,2016/2017,Kilmarnock,Rangers,1.0,1.0,D,8.6,4.9,1.46,KR26081618:45,26/8/16,18:45,44.4,29.9,25.8,2.25,3.34,3.88,32.82,9.53,-42.72,Lay_2
80,81,TUR D1,Turkey,Super Lig,2016/2017,Alanyaspor,Antalyaspor,2.0,1.0,H,3.7,3.45,2.24,AA26081618:45,26/8/16,18:45,49.7,28.6,21.7,2.01,3.5,4.61,36.26,-3.08,-23.32,Back_1
81,82,CZE D1,Czech Republic,1. Liga,2016/2017,Bohemians 1905,Jablonec,2.0,0.0,H,3.25,3.45,2.4,BJ26081618:15,26/8/16,18:15,41.9,30.3,27.8,2.39,3.3,3.6,28.75,-3.08,-13.89,Back_1
85,86,,England,Premier League 2,2016/2017,Arsenal U23,Liverpool U23,1.0,3.0,A,3.15,3.75,2.12,AL26081618:00,26/8/16,18:00,38.1,30.7,31.2,2.62,3.26,3.21,20.07,3.91,-24.95,Back_1
93,94,ENG CH,England,Championship,2016/2017,Brentford,Sheffield Wed,1.0,1.0,D,2.86,3.3,2.84,BS27081614:00,27/8/16,14:00,49.6,28.7,21.7,2.02,3.48,4.61,14.54,-1.97,-22.21,Lay_2
94,95,ITA D1,Italy,Serie A,2016/2017,Lazio,Juventus,0.0,1.0,A,4.4,3.25,2.12,LJ27081616:00,27/8/16,16:00,33.4,30.8,35.7,2.99,3.25,2.8,10.72,0.0,-24.95,Lay_2
99,100,RUS D1,Russia,Premier League,2016/2017,FK Anzi Makhackala,Spartak Moscow,0.0,2.0,A,4.9,3.65,1.88,FS28081618:30,28/8/16,18:30,40.8,30.4,28.8,2.45,3.29,3.47,20.41,2.1,-24.37,Lay_2
107,108,SVN D1,Slovenia,Prva liga,2016/2017,Celje,Maribor,0.0,3.0,A,4.5,3.8,1.87,CM28081618:15,28/8/16,18:15,41.7,30.3,28.0,2.4,3.3,3.57,19.44,-0.21,-25.46,Lay_2
112,113,,Spain,Segunda Division B - Group 1,2016/2017,Palencia,Celta Vigo B,1.0,3.0,A,4.1,3.35,2.06,PC04091617:00,4/9/16,17:00,57.3,26.1,16.6,1.75,3.83,6.02,26.63,-1.44,-18.87,Lay_2
115,116,,Spain,Copa del Rey,2016/2017,Huesca,Girona,1.0,0.0,H,3.1,3.15,2.76,HG08091617:00,8/9/16,17:00,45.3,29.7,25.0,2.21,3.37,4.0,23.3,-2.68,-11.23,Back_1
116,117,BEL D1,Belgium,Jupiler League,2016/2017,Waasland-Beveren,Club Brugge KV,1.0,0.0,H,5.3,4.0,1.75,WC09091618:30,9/9/16,18:30,50.6,28.4,21.0,1.98,3.52,4.76,31.64,1.18,-36.13,Lay_2
120,121,AUT D1,Austria,Tipico Bundesliga,2016/2017,Sturm Graz,Rapid Vienna,1.0,1.0,D,3.55,3.5,2.26,SR10091614:00,10/9/16,14:00,54.4,27.2,18.4,1.84,3.68,5.43,19.68,0.41,-21.26,Lay_2
121,122,TUR D2,Turkey,1. Lig,2016/2017,Manisaspor,Eskisehirspor,3.0,3.0,D,4.1,3.5,1.9,ME10091615:00,10/9/16,15:00,42.5,30.2,27.3,2.35,3.31,3.66,26.63,0.41,-22.6,Lay_2
127,128,GRC D1,Greece,Super League,2016/2017,Levadiakos,Panathinaikos,0.0,3.0,A,10.5,4.4,1.45,LP10091617:30,10/9/16,17:30,43.3,30.1,26.6,2.31,3.32,3.76,33.77,1.49,-42.37,Lay_2
129,130,TUR D1,Turkey,Super Lig,2016/2017,Kayserispor,Galatasaray,1.0,1.0,D,3.4,3.55,2.3,KG10091616:00,10/9/16,16:00,41.4,30.4,28.2,2.42,3.29,3.55,11.91,0.32,-33.78,Lay_2
130,131,GRC D1,Greece,Super League,2016/2017,Panionios,Asteras Tripolis,3.0,0.0,H,3.35,2.86,2.76,PA10091615:15,10/9/16,15:15,49.3,28.8,22.0,2.03,3.47,4.55,25.4,-6.15,-11.23,Back_1
133,134,ESP D1,Spain,LaLiga,2016/2017,Real Madrid,Osasuna,5.0,2.0,H,1.07,19.5,55.0,RO10091614:00,10/9/16,14:00,68.4,21.2,10.4,1.46,4.72,9.62,-24.96,16.06,8.58,Lay_1
135,136,GER D2,Germany,2. Bundesliga,2016/2017,Sandhausen,Kaiserslautern,2.0,0.0,H,3.25,3.35,2.5,SK11091611:30,11/9/16,11:30,51.4,28.2,20.5,1.95,3.55,4.88,28.75,-1.44,-19.51,Back_1
167,168,ESP D1,Spain,LaLiga,2016/2017,Leganes,Barcelona,1.0,5.0,A,19.5,8.4,1.2,LB17091611:00,17/9/16,11:00,20.0,27.9,52.1,5.0,3.58,1.92,14.87,16.03,-31.25,Lay_2
171,172,UKR D1,Ukraine,Premier League,2016/2017,Vorskla Poltava,Shakhtar Donetsk,0.0,1.0,A,9.4,5.0,1.42,VS18091616:30,18/9/16,16:30,38.5,30.7,30.9,2.6,3.26,3.24,27.82,-1.1,-39.56,Lay_2
172,173,SCO D1,Scotland,Premiership,2016/2017,Dundee FC,Aberdeen,1.0,3.0,A,4.2,3.6,2.02,DA18091611:00,18/9/16,11:00,40.5,30.5,29.0,2.47,3.28,3.45,22.27,1.21,-28.8,Back_1
173,174,DNK D1,Denmark,Superliga,2016/2017,Odense,Midtjylland,0.0,1.0,A,3.75,3.85,2.08,OM18091612:00,18/9/16,12:00,47.0,29.3,23.7,2.13,3.41,4.22,20.28,-1.88,-24.38,Lay_2
174,175,ENG PL,England,Premier League,2016/2017,Watford,Manchester Utd,3.0,1.0,H,6.8,4.3,1.59,WM18091611:00,18/9/16,11:00,28.5,30.4,41.1,3.51,3.29,2.43,14.97,7.14,-21.74,Lay_2
178,180,,England,Premier League 2,2016/2017,Arsenal U23,Everton U23,0.0,5.0,A,3.4,3.95,2.1,AE19091618:00,19/9/16,18:00,71.7,19.5,8.8,1.39,5.13,11.36,11.91,5.26,-38.82,Lay_2
183,185,,Netherlands,KNVB Beker,2016/2017,Lienden,AZ Alkmaar,1.0,4.0,A,8.2,5.8,1.21,LA21091618:00,21/9/16,18:00,59.7,25.2,15.1,1.68,3.97,6.62,47.33,7.95,-67.54,Lay_2
184,186,DNK D1,Denmark,Superliga,2016/2017,Randers FC,FC Copenhagen,2.0,2.0,D,5.5,3.75,1.79,RF21091616:00,21/9/16,16:00,39.8,30.6,29.6,2.51,3.27,3.38,21.66,3.91,-6.36,Back_1
186,188,,Russia,Russian Cup,2016/2017,SKA Khabarovsk,Spartak Moscow,1.0,0.0,H,7.0,3.8,1.65,SS21091609:00,21/9/16,09:00,42.2,30.2,27.5,2.37,3.31,3.64,27.91,-0.21,-32.44,Lay_2
187,189,ENG EFLC,England,EFL Cup,2016/2017,Northampton,Manchester Utd,1.0,3.0,A,16.0,7.6,1.23,NM21091618:45,21/9/16,18:45,42.1,30.3,27.6,2.38,3.3,3.62,35.77,17.15,-53.68,Lay_2
190,192,ESP D2,Spain,LaLiga2,2016/2017,Levante,Sevilla FC B,1.0,0.0,H,1.61,4.0,7.2,LS21091618:00,21/9/16,18:00,41.9,30.3,27.8,2.39,3.3,3.6,-20.27,1.18,13.89,Lay_1
193,195,,Netherlands,KNVB Beker,2016/2017,Sparta Rotterdam,Dordrecht,3.0,1.0,H,1.31,6.2,11.0,SD21091618:00,21/9/16,18:00,64.1,23.3,12.6,1.56,4.29,7.94,-33.05,7.18,0.61,Lay_1
205,207,,Portugal,Primeira Liga,2016/2017,Chaves,Benfica,0.0,2.0,A,8.4,4.5,1.5,CB24091617:15,24/9/16,17:15,29.8,30.6,39.7,3.36,3.27,2.52,17.86,8.08,-26.98,Lay_2
208,210,ENG PL,England,Premier League,2016/2017,Bournemouth,Everton,1.0,0.0,H,3.45,3.5,2.32,BE24091614:00,24/9/16,14:00,42.1,30.3,27.7,2.38,3.3,3.61,13.03,0.41,-25.21,Lay_2
221,223,TUR D2,Turkey,1. Lig,2016/2017,Manisaspor,Goztepe,0.0,3.0,A,3.5,3.8,2.16,MG26091616:00,26/9/16,16:00,48.4,29.0,22.7,2.07,3.45,4.41,19.05,-0.21,-23.62,Lay_2
